Index,Title,Genre,Tags,Languages,Type,Hidden Gem Score,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
0,Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Series,4.3,2,Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",R,7.9,98,82,74,57,"2,122,065.00",12/12/2008,3/4/2021,"Canal+, Sandrew Metronome",https://www.netflix.com/watch/81415947,https://www.imdb.com/title/tt1139797,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",205926,https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0,https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,
1,HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",English,Movie,7,0,Coky Giedroyc,Caitlin Moran,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,5.8,79,69,1,,"70,632.00",5/8/2020,3/4/2021,"Film 4, Monumental Pictures, Lionsgate",https://www.netflix.com/watch/81041267,https://www.imdb.com/title/tt4193072,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",2838,https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a,https://m.media-amazon.com/images/M/MV5BZGUyN2ZlMjYtZTk2Yy00MWZiLWIyMDktMzFlMmEzOWVlMGNiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,https://www.youtube.com/watch?v=eIbcxPy4okQ,YouTube
11,The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,Movie,2,0,David S. Goyer,"Christine Roum, Mats Wahl, Mick Davis","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",PG-13,6.2,20,36,,1,"20,578,909.00",4/27/2007,3/3/2021,"Touchstone Pictures, Spyglass Entertainment",https://www.netflix.com/watch/81382078,https://www.imdb.com/title/tt0435670,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",34738,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT4CgikQDwLNg_HIlP0G50p7X0H52kcxOjHouEzeNBOfFPw09TWvHjEsYik1kGHzPrRlmEysonrVtPCBpLruAWAypw.jpg?r=3be,https://m.media-amazon.com/images/M/MV5BNjQ3MjAwNTc1NV5BMl5BanBnXkFtZTcwMzQ3MjczMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=yDB3Ha3vxyc,YouTube
15,Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,0,Todd Phillips,"Scott Silver, Jerry Robinson, Todd Phillips, Bob Kane, Bill Finger","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,8.4,68,59,112,228,"335,451,311.00",10/4/2019,3/3/2021,"Bron Studios, Creative Wealth Media Finance, DC Comics",https://www.netflix.com/watch/81382215,https://www.imdb.com/title/tt7286456,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",951938,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=t433PEQGErc,YouTube
16,I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,0,George Lucas,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,6.5,52,51,26,69,"474,544,677.00",5/19/1999,3/3/2021,Lucasfilm Ltd.,https://www.netflix.com/watch/81382114,https://www.imdb.com/title/tt0120915,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,733336,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRslzvcxZlMteszOYTpkvInxwXS5crWhEcHEvBD5Toybfj6KivkEIOJaAXvqDh3VCwvigHiF8dzdH3Y0Scgt3q5TA.jpg?r=619,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ,YouTube
17,Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,0,David Yates,"Steve Kloves, J.K. Rowling","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",PG-13,8.1,96,85,46,94,"381,409,310.00",7/15/2011,3/3/2021,"Heyday Films, Moving Picture Company, Warner Bros.",https://www.netflix.com/watch/81382102,https://www.imdb.com/title/tt1201607,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",766594,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGQymPz2RK3LajCem7mtwGhaN1dwRFEt2WgL6lUac9dEyOap0uL3k8zw4nlMhJfXJZ9usVahLUcE1BS5sHvzYt8-g.jpg?r=144,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=5NYt1qirBWg,YouTube
28,The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,0,Francis Veber,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,7,85,72,1,1,"6,678,894.00",8/10/2001,3/1/2021,"Miramax, Gaumont",https://www.netflix.com/watch/81405032,https://www.imdb.com/title/tt0243493,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,16657,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQSpoTkZ1zFLtdAsNOUvkFxbwJdOqu7TjHJpnSWYWSEhRWZCaeKv8b9icqqFr1vJFPCC6973kAxhK9pXRN659mkFA.jpg?r=fab,https://m.media-amazon.com/images/M/MV5BMGRmNzFhNWEtYTgxZS00Y2Q2LTg0MjAtMTdlYTFjNjUyMDRhXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=ou9YG0fUztA,YouTube
41,Trial by Fire,"Biography, Drama","Films Based on Real Life,Social Issue Dramas,Dramas",English,Movie,6.2,3,Edward Zwick,"Geoffrey Fletcher, David Grann","Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",R,6.9,61,51,,,"148,504.00",5/17/2019,3/1/2021,Roadside Attractions,https://www.netflix.com/watch/81088152,https://www.imdb.com/title/tt3263946,A woman who develops a close relationship with a death row inmate sets out to prove the man was wrongfully convicted of killing his children in a fire.,3657,https://occ-0-4169-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZQ2e6Q_ZKFYoJWGB5tzFRhd6zmcE3dHIH34FJOQpS8xoYTV1vyhdo8FrLaMYINGl_HP0ZvmjmTsaq98-lM54K46sg.jpg?r=21d,https://m.media-amazon.com/images/M/MV5BNTJkYTIwOTAtYjc4Yy00OTZkLThhM2EtZDFlNTJmMmY2NzgyXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=rrq6SOwyr5s,YouTube
51,Framing John DeLorean,"Documentary, Biography, Drama","Biographical Documentaries,Dramas,Documentary Films",English,Movie,8,0,"Don Argott, Sheena M. Joyce","Alexandra Orton, Dan Greeney","Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles",Unrated,6.5,90,67,,,"145,625.00",6/7/2019,3/1/2021,"9.14 Pictures, XYZ Films",https://www.netflix.com/watch/81092223,https://www.imdb.com/title/tt6256978,"From his rise in the auto industry to his fall from grace, follow John DeLoreans incredible legacy of power, politics, fast cars and illicit drugs.",1398,https://occ-0-3937-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQcOqqwH0Jol3PcySu1AapkPsRCyAIrV8uH2y5BBlLhZR_IbV4ndh7qVe5luucPZaHsE8N-NU2oRyrPhhKm1Id1uyQ.jpg?r=275,https://m.media-amazon.com/images/M/MV5BMTAyODY3NzcxNjdeQTJeQWpwZ15BbWU4MDg2MzU1Njcz._V1_SX300.jpg,https://www.youtube.com/watch?v=FhyaYaK9lC4,YouTube
54,Alice,"Comedy, Romance","TV Mysteries,TV Dramas,Korean TV Shows,TV Thrillers,Futuristic Sci-Fi,Sci-Fi TV","English, Cantonese",Series,3.5,2,Woody Allen,Woody Allen,"June Squibb, Mia Farrow, William Hurt, Joe Mantegna",PG-13,6.6,75,67,1,7,"7,331,647.00",1/10/1991,3/1/2021,Orion Pictures,https://www.netflix.com/watch/81404896,https://www.imdb.com/title/tt0099012,"While investigating a string of murders, a detective is stunned to encounter time travelers — especially a professor whos a dead ringer for his mother.",13379,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfpyqmFt6PbP6nm5lFwzNaBp7bt4A8b7uU_Po4qBl1UhcjCYWYT6cLw0_8BnuIPn8c0kibprpU9esUKVwDxewapuKA.jpg?r=751,https://m.media-amazon.com/images/M/MV5BNDQ4YzdmY2MtYzkwOS00Njk5LWI5MWUtNGQ0NzVhODIxYzkwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,,
